date,symbol,pnl_usd,cumulative_usd
2019-10-21,XLC,59.1,59.1
2019-10-21,XLK,58.25,117.35
2019-10-22,XLF,10.23,127.58
2019-10-22,XLV,71.0,198.58
2019-10-23,KRE,24.44,223.02
2019-10-23,LQD,76.81,299.83
2019-10-23,XLI,80.87,380.7
2019-10-24,XLB,28.67,409.37
2019-10-25,XLP,32.95,442.32
2019-10-25,XLU,28.29,470.61
2019-10-25,XLY,87.86,558.47
2019-10-25,DIA,70.21,628.68
2019-10-28,VNQ,41.3,669.98
2019-10-28,XLRE,38.38,708.36
2019-10-28,HYG,30.98,739.34
2019-10-30,AGG,38.67,778.01
2019-10-31,GLD,121.92,899.93
2019-10-31,IEF,48.06,947.99
2019-10-31,SLV,15.77,963.76
2019-11-01,GDX,36.12,999.88
2019-11-12,EWZ,7.87,1007.75
2019-11-12,XLE,8.45,1016.2
2019-11-13,FXI,17.99,1034.19
2019-11-15,SMH,-127.71,906.48
2019-11-15,QQQ,-157.36,749.12
2019-11-15,EFA,-11.57,737.55
2019-11-15,IWM,-405.88,331.67
2019-11-15,XBI,-419.31,-87.64
2019-11-15,SPY,-267.98,-355.62
2019-11-29,EEM,25.84,-329.78
2020-01-03,AGG,22.42,-307.36
2020-01-03,EFA,46.19,-261.17
2020-01-03,XLV,49.37,-211.8
2020-01-03,XLY,47.88,-163.92
2020-01-06,HYG,27.6,-136.32
2020-01-06,IEF,34.06,-102.26
2020-01-06,IWM,107.57,5.31
2020-01-06,LQD,73.64,78.95
2020-01-06,XLP,17.81,96.76
2020-01-07,DIA,113.8,210.56
2020-01-07,SPY,109.95,320.51
2020-01-09,XLU,22.48,342.99
2020-01-09,XLI,39.13,382.12
2020-01-13,XLB,47.82,429.94
2020-01-14,KRE,41.19,471.13
2020-01-15,FXI,21.0,492.13
2020-01-15,EWZ,7.4,499.53
2020-01-17,GLD,-309.66,189.87
2020-01-17,QQQ,-294.36,-104.49
2020-01-17,XLC,-207.96,-312.45
2020-01-23,XBI,48.88,-263.57
2020-02-03,SMH,101.82,-161.75
