year,entry_date,exit_date,symbol,structure,exit,holding_days,pop,entry_iv,credit_usd,max_risk_usd,pnl_usd,hold_to_expiry_pnl_usd
2019,2019-09-23,2019-10-30,AGG,iron_condor,target,37,0.569178,0.067335,79.57,120.43,38.67,71.57
2019,2019-09-23,2019-10-31,EEM,iron_condor,target,38,0.558434,0.147285,81.58,118.42,34.74,60.58
2019,2019-09-23,2019-10-29,FXI,iron_condor,target,36,0.552676,0.204472,43.44,56.56,16.23,35.44
2019,2019-09-23,2019-09-30,GDX,short_call_spread,target,7,0.800463,0.563631,35.19,164.81,15.72,31.19
2019,2019-09-23,2019-10-31,GLD,iron_condor,target,38,0.516897,0.216374,238.81,261.19,121.92,151.81
2019,2019-09-23,2019-10-31,IEF,iron_condor,target,38,0.512569,0.099131,96.76,103.24,48.06,88.76
2019,2019-09-23,2019-10-23,KRE,short_put_spread,target,30,0.699531,0.361786,55.39,144.61,24.44,51.39
2019,2019-09-23,2019-10-23,LQD,iron_condor,target,30,0.60423,0.112119,164.54,335.46,76.81,156.54
2019,2019-09-23,2019-09-30,SLV,short_call_spread,target,7,0.76691,0.585927,21.36,78.64,7.59,17.36
2019,2019-09-23,2019-11-15,SMH,iron_condor,expiry,53,0.572704,0.298187,194.79,305.21,-127.71,-127.71
2019,2019-09-23,2019-10-28,VNQ,iron_condor,target,35,0.519139,0.156508,94.97,105.03,41.3,86.97
2019,2019-09-23,2019-10-24,XLB,iron_condor,target,31,0.589843,0.185435,69.8,130.2,28.67,43.8
2019,2019-09-23,2019-10-21,XLC,iron_condor,target,28,0.62066,0.194295,132.08,367.92,59.1,124.08
2019,2019-09-23,2019-11-04,XLE,short_put_spread,target,42,0.730618,0.273491,24.1,75.9,13.04,20.1
2019,2019-09-23,2019-10-22,XLF,iron_condor,target,29,0.607104,0.199635,36.0,64.0,10.23,28.0
2019,2019-09-23,2019-10-23,XLI,iron_condor,target,30,0.601487,0.205801,170.42,329.58,80.87,131.42
2019,2019-09-23,2019-10-21,XLK,iron_condor,target,28,0.62441,0.233268,125.86,374.14,58.25,55.86
2019,2019-09-23,2019-10-25,XLP,iron_condor,target,32,0.577569,0.149222,78.24,121.76,32.95,70.24
2019,2019-09-23,2019-10-28,XLRE,iron_condor,target,35,0.55132,0.206446,85.19,114.81,38.38,77.19
2019,2019-09-23,2019-10-25,XLU,iron_condor,target,32,0.599874,0.161353,65.65,134.35,28.29,57.65
2019,2019-09-23,2019-10-22,XLV,iron_condor,target,29,0.606336,0.134649,156.74,343.26,71.0,-97.26
2019,2019-09-24,2019-10-28,HYG,iron_condor,target,34,0.584809,0.063124,71.51,128.49,30.98,57.51
2019,2019-09-24,2019-11-15,QQQ,iron_condor,expiry,52,0.5124,0.228872,241.64,258.36,-157.36,-157.36
2019,2019-09-24,2019-10-28,XBI,iron_condor,target,34,0.525895,0.398569,232.78,267.22,111.58,224.78
2019,2019-09-24,2019-10-25,XLY,iron_condor,target,31,0.571168,0.243839,191.5,308.5,87.86,183.5
2019,2019-09-25,2019-11-15,EFA,iron_condor,expiry,51,0.611997,0.131545,128.43,371.57,-11.57,-11.57
2019,2019-10-02,2019-11-12,EWZ,short_call_spread,target,41,0.775908,0.309983,20.56,79.44,7.87,16.56
2019,2019-10-04,2019-10-25,DIA,short_put_spread,target,21,0.717558,0.170328,127.49,372.51,70.21,123.49
2019,2019-10-04,2019-11-15,IWM,iron_condor,expiry,42,0.525314,0.241734,233.67,266.33,33.67,33.67
2019,2019-10-10,2019-11-15,SPY,iron_condor,expiry,36,0.515939,0.1757,240.02,259.98,-267.98,-267.98
2019,2019-12-17,2020-01-03,AGG,iron_condor,target,17,0.614877,0.055871,59.81,140.19,22.42,51.81
2019,2019-12-17,2020-01-07,DIA,iron_condor,target,21,0.52042,0.134313,237.29,262.71,113.8,-97.71
2019,2019-12-17,2020-01-06,EEM,iron_condor,target,20,0.599924,0.201299,69.7,130.3,33.05,38.7
2019,2019-12-17,2020-01-03,EFA,iron_condor,target,17,0.638191,0.132959,95.53,404.47,46.19,87.53
2019,2019-12-17,2020-01-15,FXI,iron_condor,target,29,0.543534,0.262486,44.7,55.3,21.0,25.7
2019,2019-12-17,2020-01-17,GLD,iron_condor,expiry,31,0.608131,0.116762,156.34,343.66,-309.66,-309.66
2019,2019-12-17,2020-01-06,HYG,iron_condor,target,20,0.57795,0.057238,69.17,130.83,27.6,61.17
2019,2019-12-17,2020-01-06,IEF,iron_condor,target,20,0.604045,0.098592,70.68,129.32,34.06,62.68
2019,2019-12-17,2020-01-06,IWM,iron_condor,target,20,0.565844,0.173332,203.99,296.01,107.57,195.99
2019,2019-12-17,2020-01-14,KRE,iron_condor,target,28,0.561776,0.248446,83.79,116.21,41.19,75.79
2019,2019-12-17,2020-01-06,LQD,iron_condor,target,20,0.612066,0.086608,130.05,369.95,73.64,122.05
2019,2019-12-17,2020-01-17,QQQ,iron_condor,expiry,31,0.553875,0.153109,213.64,286.36,-294.36,-294.36
